;Voters;voting_before;voting_normally;voting_outside;Invalid;Valid;Rodina;Kommunisty_rosii;Pensy_za_spravedlivost;Edinaya_rasiya;Green;Grazhd_Platforma;ldpr;Parnas;Rosta;Grazhd_Sila;Yabloko;kprf;Patrioty;Sprav_rasiya
PEC ¹2494;2302;0;721;14;13;722;3.81%;1.90%;2.72%;38.50%;2.45%;0.00%;15.24%;2.18%;3.27%;0.14%;8.84%;11.43%;0.95%;6.80%
PEC ¹2495;1980;0;702;21;8;714;4.57%;2.35%;2.22%;27.29%;3.32%;0.14%;12.19%;5.26%;5.12%;0.14%;13.99%;13.71%;0.28%;8.31%
PEC ¹2496;2120;0;762;16;13;762;3.61%;1.94%;2.06%;32.00%;2.45%;0.13%;10.06%;2.84%;4.52%;0.00%;11.23%;17.81%;1.03%;8.65%
PEC ¹2497;1426;0;523;4;9;516;4.95%;2.10%;3.81%;35.43%;2.29%;0.19%;9.33%;2.10%;3.05%;0.57%;8.38%;18.48%;0.76%;6.86%
PEC ¹2498;1272;0;475;5;6;473;5.22%;1.46%;1.88%;29.85%;1.46%;0.21%;8.56%;4.18%;6.26%;0.42%;15.66%;15.24%;2.71%;5.64%
PEC ¹2499;1879;0;603;15;7;611;4.85%;1.13%;2.75%;37.54%;2.27%;0.49%;11.49%;3.24%;4.21%;0.00%;9.22%;14.24%;1.13%;6.31%
PEC ¹2500;1849;0;519;17;4;532;3.17%;2.24%;2.61%;39.55%;1.68%;0.37%;11.19%;2.24%;4.10%;0.19%;10.82%;11.38%;0.75%;8.96%
PEC ¹2501;109;0;48;2;1;49;2.00%;2.00%;8.00%;28.00%;2.00%;0.00%;14.00%;6.00%;10.00%;0.00%;6.00%;16.00%;0.00%;4.00%
PEC ¹2502;1971;0;669;14;13;670;5.56%;1.90%;3.22%;33.53%;3.51%;0.44%;10.98%;3.66%;2.64%;0.15%;11.86%;13.91%;0.59%;6.15%
PEC ¹2503;600;0;209;6;1;213;3.74%;1.40%;3.74%;29.44%;2.34%;0.00%;10.28%;2.34%;2.80%;0.47%;16.82%;19.16%;0.93%;6.07%
PEC ¹2504;2558;0;624;4;25;603;3.50%;2.07%;2.71%;41.24%;1.27%;0.32%;14.49%;1.75%;1.91%;0.16%;4.62%;11.78%;1.27%;8.92%
PEC ¹2505;2404;0;780;19;18;776;3.02%;0.88%;3.27%;40.30%;1.89%;0.00%;12.59%;2.14%;3.78%;0.25%;8.19%;14.23%;0.88%;6.30%
PEC ¹2506;2298;0;766;18;21;747;3.13%;2.08%;2.73%;33.98%;1.69%;0.26%;10.55%;3.13%;5.21%;0.26%;11.98%;14.84%;0.65%;6.77%
PEC ¹2507;1206;0;376;9;5;379;3.13%;0.26%;1.56%;43.49%;0.78%;0.52%;17.97%;2.08%;1.82%;0.00%;6.51%;9.11%;0.78%;10.68%
PEC ¹2508;2205;0;707;23;5;723;4.40%;1.92%;2.88%;30.77%;2.88%;0.14%;12.50%;3.02%;2.34%;0.14%;11.26%;15.38%;0.69%;10.99%
PEC ¹2509;1051;0;318;13;8;321;2.74%;1.22%;4.56%;36.17%;1.52%;0.00%;11.55%;3.34%;4.26%;0.61%;10.33%;10.33%;0.61%;10.33%
PEC ¹2510;1930;0;685;14;8;689;2.58%;2.15%;3.44%;29.56%;2.01%;0.14%;10.47%;4.59%;5.88%;0.43%;14.35%;15.49%;0.86%;6.89%
PEC ¹2511;2572;0;733;11;16;724;3.78%;1.35%;2.70%;37.57%;2.57%;0.41%;15.41%;2.57%;1.62%;0.00%;8.51%;14.32%;0.41%;6.62%
PEC ¹2512;1571;0;458;10;6;460;3.00%;0.64%;3.22%;36.70%;1.93%;0.64%;16.09%;1.72%;3.43%;0.21%;7.08%;12.45%;0.86%;10.73%
PEC ¹2513;2501;0;796;10;20;786;3.10%;2.11%;2.48%;39.33%;1.49%;0.00%;12.78%;2.11%;2.36%;0.37%;7.69%;15.14%;1.49%;7.07%
PEC ¹2514;1311;0;453;24;6;471;1.89%;1.68%;3.56%;35.64%;0.84%;0.42%;11.95%;5.24%;5.24%;0.21%;11.95%;12.16%;1.05%;6.92%
PEC ¹2515;1390;0;483;9;5;484;4.70%;1.84%;4.91%;31.70%;1.23%;0.82%;12.47%;1.64%;4.50%;0.20%;8.59%;14.93%;1.43%;10.02%
PEC ¹2516;1198;0;353;16;6;361;3.81%;1.09%;2.72%;36.51%;2.99%;0.82%;15.53%;2.18%;2.99%;0.27%;9.26%;10.63%;0.54%;8.99%
PEC ¹2517;1590;0;438;0;4;434;3.42%;2.05%;2.05%;41.10%;0.23%;0.00%;24.20%;1.37%;1.60%;0.23%;1.83%;13.01%;0.00%;7.99%
PEC ¹2518;2362;0;720;26;13;733;3.22%;1.74%;3.35%;34.99%;1.88%;0.40%;15.68%;2.95%;2.95%;0.13%;6.97%;11.39%;0.40%;12.20%
PEC ¹2519;1747;0;527;29;2;554;3.60%;2.52%;3.78%;36.69%;1.44%;0.36%;14.03%;3.60%;4.14%;0.72%;8.99%;12.05%;0.72%;7.01%
PEC ¹2520;1553;0;441;10;7;444;5.99%;2.88%;3.55%;36.14%;1.55%;0.22%;13.08%;2.44%;2.88%;0.00%;7.98%;13.97%;0.89%;6.87%
PEC ¹2521;1156;0;420;12;9;421;4.42%;0.93%;2.79%;34.42%;1.63%;0.00%;13.72%;4.42%;2.33%;0.47%;12.33%;11.86%;0.70%;7.91%
PEC ¹2522;2358;0;843;18;16;845;4.41%;1.86%;2.90%;30.31%;1.97%;0.23%;13.12%;2.90%;3.83%;0.35%;10.69%;14.17%;0.58%;10.80%
PEC ¹2523;1832;0;560;15;18;555;3.49%;1.40%;3.32%;38.05%;2.62%;0.00%;11.69%;2.27%;5.24%;0.00%;8.20%;16.58%;0.35%;3.66%
PEC ¹2524;888;0;275;5;3;277;3.93%;1.43%;4.64%;28.93%;1.43%;0.00%;12.50%;4.29%;3.57%;0.36%;13.93%;16.43%;0.71%;6.79%
PEC ¹2525;1951;0;653;17;13;656;2.84%;1.64%;2.09%;37.52%;1.79%;0.30%;13.00%;2.99%;2.99%;0.15%;13.90%;11.51%;0.45%;6.88%
PEC ¹2526;1571;0;546;5;10;541;5.44%;1.45%;3.99%;28.13%;1.99%;0.73%;11.62%;3.09%;3.99%;0.00%;15.61%;15.43%;1.45%;5.26%
PEC ¹2527;2460;0;770;9;22;750;5.05%;1.55%;2.20%;36.27%;2.33%;0.26%;11.01%;3.11%;3.50%;0.26%;10.49%;12.05%;1.17%;7.90%
PEC ¹2528;1635;0;602;13;6;609;3.90%;2.60%;2.76%;32.20%;1.63%;0.16%;10.73%;4.23%;5.04%;0.16%;9.92%;16.91%;0.98%;7.80%
PEC ¹2529;1604;0;585;24;8;601;2.30%;2.13%;2.63%;31.86%;1.81%;0.33%;7.88%;3.94%;4.60%;0.33%;13.79%;16.26%;0.49%;10.34%
PEC ¹2530;1721;0;703;7;15;695;5.77%;2.39%;3.38%;33.52%;2.11%;0.14%;11.97%;3.10%;3.52%;0.42%;8.59%;13.80%;0.99%;8.17%
PEC ¹2531;1200;0;441;8;7;442;4.45%;1.78%;2.90%;28.51%;2.67%;0.45%;10.91%;2.23%;4.45%;0.67%;14.03%;17.82%;0.67%;6.90%
PEC ¹2532;2309;0;885;16;12;887;4.78%;1.78%;4.12%;31.15%;2.22%;0.44%;8.68%;2.45%;3.89%;0.44%;12.24%;12.12%;0.11%;14.24%
PEC ¹2533;1629;0;598;19;13;604;4.21%;1.94%;3.73%;29.17%;1.78%;0.65%;11.35%;1.78%;3.57%;0.49%;9.56%;18.15%;0.49%;11.02%
PEC ¹2534;1424;0;452;7;4;454;3.28%;1.31%;1.97%;37.55%;0.66%;0.22%;18.56%;1.53%;1.97%;0.00%;3.93%;16.16%;1.09%;10.92%
PEC ¹2535;1135;0;369;10;6;372;3.17%;1.85%;2.38%;41.27%;1.06%;0.26%;8.20%;3.44%;2.38%;0.79%;9.26%;15.61%;0.53%;8.20%
PEC ¹2536;1925;0;667;12;17;661;3.98%;2.36%;2.65%;36.28%;2.36%;0.00%;15.49%;2.36%;2.36%;0.29%;7.82%;15.04%;0.74%;5.75%
PEC ¹2537;2100;0;685;12;24;669;3.61%;2.60%;3.61%;36.94%;1.88%;0.14%;13.42%;1.15%;2.45%;0.00%;9.09%;13.13%;0.00%;8.51%
PEC ¹2538;1612;0;563;11;4;567;2.28%;1.58%;4.38%;31.17%;1.23%;0.18%;9.63%;1.58%;3.15%;0.35%;16.46%;17.51%;0.70%;9.11%
PEC ¹2539;1681;0;621;15;14;622;3.46%;2.20%;2.67%;34.59%;1.89%;0.47%;11.16%;2.99%;3.46%;0.00%;9.12%;16.19%;0.79%;8.81%
PEC ¹2540;2177;0;766;19;17;767;2.81%;1.79%;3.70%;39.16%;1.66%;0.13%;10.33%;2.17%;4.08%;0.13%;7.91%;13.14%;0.64%;10.20%
PEC ¹3749;115;0;86;15;1;100;1.98%;0.99%;1.98%;46.53%;2.97%;0.00%;8.91%;0.99%;1.98%;0.00%;10.89%;14.85%;1.98%;4.95%
PEC ¹3750;115;0;55;59;2;112;3.51%;4.39%;7.02%;46.49%;0.00%;0.00%;6.14%;1.75%;1.75%;0.00%;4.39%;15.79%;0.88%;6.14%
PEC ¹8374;51;0;50;1;0;51;1.96%;0.00%;1.96%;62.75%;1.96%;0.00%;9.80%;3.92%;0.00%;0.00%;0.00%;5.88%;5.88%;5.88%
PEC ¹2047;219;0;178;32;8;202;1.43%;2.86%;2.86%;66.67%;0.95%;0.48%;10.95%;0.48%;0.48%;0.00%;0.95%;6.19%;0.95%;0.95%
PEC ¹2048;2234;0;1126;84;7;1203;2.15%;1.07%;1.49%;61.24%;1.32%;0.00%;9.26%;1.40%;2.07%;1.74%;3.97%;7.11%;0.41%;6.20%
PEC ¹2049;2403;0;1409;17;12;1414;4.84%;3.23%;3.23%;57.22%;3.65%;2.81%;5.33%;1.61%;1.12%;2.66%;0.70%;8.56%;0.56%;3.65%
PEC ¹2050;2159;0;1085;19;16;1088;2.26%;1.36%;1.72%;61.87%;1.09%;0.18%;9.60%;0.91%;1.63%;0.18%;4.71%;9.69%;0.27%;3.08%
PEC ¹2051;1865;0;674;33;11;696;2.97%;1.84%;4.38%;43.14%;1.27%;0.28%;11.60%;1.98%;3.54%;0.00%;5.66%;14.85%;0.99%;5.94%
PEC ¹2052;2331;0;1159;29;22;1166;2.53%;1.26%;3.54%;51.52%;0.93%;0.00%;8.92%;1.43%;3.20%;0.34%;4.63%;12.88%;0.34%;6.65%
PEC ¹2053;2390;0;1152;33;18;1167;2.19%;1.01%;2.45%;54.85%;2.03%;0.17%;8.19%;1.43%;2.36%;0.08%;7.34%;9.87%;0.25%;6.24%
PEC ¹2054;2357;0;894;13;12;895;3.97%;1.54%;2.76%;42.56%;1.54%;0.11%;13.23%;2.43%;2.65%;0.22%;7.06%;14.22%;0.66%;5.73%
PEC ¹2055;3022;0;944;11;20;935;2.30%;2.09%;2.41%;40.00%;1.99%;0.31%;14.97%;3.46%;3.14%;0.21%;7.33%;12.15%;0.94%;6.60%
PEC ¹2056;2402;0;757;22;13;766;3.59%;2.05%;2.70%;35.69%;1.41%;0.13%;17.33%;2.44%;3.72%;0.13%;7.70%;14.38%;0.51%;6.55%
PEC ¹2057;2382;0;793;21;14;800;3.81%;1.84%;3.93%;43.24%;1.97%;0.49%;12.65%;1.35%;3.07%;0.12%;6.39%;10.93%;0.74%;7.74%
PEC ¹2058;2657;0;855;19;4;870;3.43%;2.63%;2.06%;40.96%;2.06%;0.57%;13.04%;2.06%;3.78%;0.11%;7.78%;12.70%;0.57%;7.78%
PEC ¹2059;2528;0;1198;47;7;1238;1.53%;0.56%;1.45%;69.96%;0.72%;0.40%;9.56%;1.77%;1.93%;0.24%;2.89%;5.38%;0.24%;2.81%
PEC ¹2060;2737;0;882;13;9;880;3.60%;2.02%;2.70%;43.98%;1.12%;0.00%;15.30%;1.12%;2.47%;0.34%;8.99%;11.70%;1.01%;4.61%
PEC ¹2061;2521;0;808;21;6;822;3.02%;1.57%;3.02%;36.59%;2.17%;0.36%;15.46%;2.29%;2.90%;0.24%;6.88%;14.25%;0.36%;10.14%
PEC ¹2062;2243;0;755;29;5;779;4.08%;1.66%;3.32%;41.33%;2.17%;0.38%;15.05%;2.17%;3.44%;0.26%;6.89%;10.08%;0.51%;8.04%
PEC ¹2063;2548;0;1240;33;0;1273;1.89%;1.65%;2.75%;51.14%;1.65%;0.63%;11.70%;1.57%;2.59%;0.16%;5.73%;11.39%;0.39%;6.76%
PEC ¹2064;2239;0;686;29;18;697;3.08%;2.80%;2.66%;35.10%;3.22%;0.14%;11.75%;3.08%;3.92%;0.14%;8.39%;14.97%;0.70%;7.55%
PEC ¹2065;2373;0;1230;21;13;1225;2.26%;1.21%;0.24%;54.04%;1.53%;0.16%;6.70%;2.18%;3.15%;0.32%;11.07%;9.69%;0.57%;5.82%
PEC ¹2066;2107;0;785;29;12;802;2.33%;1.47%;2.70%;41.15%;1.60%;0.25%;13.76%;1.60%;2.70%;0.00%;9.58%;14.62%;0.12%;6.63%
PEC ¹2067;2225;0;943;25;10;900;4.29%;1.43%;0.99%;42.86%;1.87%;0.33%;11.10%;2.42%;3.63%;0.00%;9.56%;10.77%;0.77%;8.90%
PEC ¹2068;2351;0;709;34;10;733;3.10%;1.62%;2.42%;37.95%;2.56%;0.00%;11.04%;1.75%;2.83%;0.00%;10.77%;14.94%;0.27%;9.42%
PEC ¹2069;2196;0;1439;31;30;1440;1.97%;1.36%;1.63%;65.92%;1.22%;0.20%;7.14%;1.29%;1.84%;0.00%;4.08%;7.14%;0.14%;4.01%
PEC ¹2070;2058;0;701;15;18;694;3.51%;1.12%;1.54%;40.45%;2.11%;0.28%;13.90%;1.83%;3.51%;0.56%;6.88%;12.78%;0.42%;8.57%
PEC ¹2071;1473;0;426;22;3;445;2.01%;0.22%;1.56%;50.67%;1.56%;0.45%;11.38%;2.01%;1.56%;0.45%;7.14%;14.29%;0.22%;5.80%
PEC ¹2072;2225;0;940;25;25;940;1.45%;0.83%;1.24%;71.50%;0.41%;0.21%;7.15%;0.93%;1.24%;0.10%;3.94%;7.77%;0.52%;0.10%
PEC ¹2073;2031;0;840;57;14;883;1.56%;1.67%;3.01%;50.95%;2.01%;1.23%;10.26%;2.79%;2.90%;1.45%;5.69%;8.36%;1.67%;4.91%
PEC ¹2074;2078;0;808;25;54;779;2.52%;1.20%;2.64%;44.54%;1.20%;0.24%;10.80%;2.28%;4.32%;0.24%;6.84%;10.68%;0.24%;5.76%
PEC ¹2075;2109;0;750;10;17;743;1.97%;2.11%;3.29%;38.82%;2.63%;0.26%;14.08%;1.45%;1.58%;0.00%;8.29%;14.87%;0.53%;7.89%
PEC ¹2076;1888;0;650;31;14;667;3.67%;2.50%;2.06%;33.92%;1.62%;0.44%;11.31%;3.67%;3.96%;0.00%;12.92%;12.92%;0.44%;8.52%
PEC ¹2077;1773;0;672;8;12;668;1.03%;1.03%;3.53%;45.00%;1.32%;0.29%;15.29%;2.79%;1.76%;0.44%;6.62%;11.62%;0.59%;6.91%
PEC ¹2078;2314;0;791;22;5;808;1.60%;1.11%;0.49%;58.79%;0.25%;0.12%;10.82%;1.85%;2.09%;0.25%;5.66%;9.47%;1.23%;5.66%
PEC ¹2079;2446;0;853;42;14;867;1.82%;1.14%;1.25%;55.16%;1.48%;0.23%;10.56%;2.38%;2.50%;0.23%;4.65%;12.71%;0.23%;4.09%
PEC ¹2080;2178;0;696;28;9;713;2.77%;2.22%;2.91%;55.54%;1.66%;0.55%;9.42%;1.94%;1.52%;0.00%;4.99%;9.00%;0.42%;5.82%
PEC ¹2081;2399;0;1019;12;13;1005;2.75%;2.06%;2.46%;55.11%;1.77%;0.20%;9.92%;1.87%;1.67%;0.10%;4.52%;8.64%;0.49%;7.17%
PEC ¹2082;2491;0;813;35;9;839;1.06%;1.30%;0.94%;65.33%;1.06%;0.24%;8.37%;0.83%;0.94%;0.24%;1.06%;9.91%;0.71%;6.96%
PEC ¹2083;2430;0;769;34;8;795;1.74%;0.75%;2.37%;59.03%;0.25%;0.50%;10.96%;0.00%;2.12%;0.00%;4.11%;11.33%;0.99%;4.86%
PEC ¹2084;2135;0;693;16;18;691;4.51%;1.69%;1.41%;55.43%;1.41%;0.56%;8.04%;0.56%;2.82%;0.56%;6.06%;6.63%;0.56%;7.19%
PEC ¹2085;1933;0;629;26;2;653;2.44%;1.53%;1.22%;70.53%;1.22%;0.15%;6.11%;1.22%;2.75%;0.31%;2.60%;6.87%;0.46%;2.29%
PEC ¹2086;2241;0;624;19;7;636;4.35%;1.71%;2.02%;40.90%;3.58%;0.00%;9.80%;3.11%;3.42%;0.62%;9.02%;11.35%;0.16%;8.86%
PEC ¹2087;2547;0;791;31;13;809;4.50%;1.70%;3.28%;38.69%;1.58%;0.00%;12.53%;1.95%;1.70%;0.49%;6.69%;13.99%;0.73%;10.58%
PEC ¹2088;2687;0;827;20;11;836;2.13%;1.77%;1.89%;53.84%;1.77%;0.47%;8.74%;2.36%;2.95%;0.35%;5.43%;11.33%;0.83%;4.84%
PEC ¹2089;3101;0;1236;4;20;1218;3.72%;2.67%;2.75%;40.63%;1.78%;0.16%;14.22%;2.18%;3.55%;0.40%;4.68%;15.91%;1.62%;4.12%
PEC ¹2090;2205;0;974;5;5;974;3.68%;2.15%;2.45%;44.84%;1.94%;0.61%;10.52%;2.04%;2.35%;0.20%;6.64%;16.96%;1.02%;4.09%
PEC ¹2091;2512;0;1060;3;14;1046;2.55%;1.51%;2.64%;47.36%;2.45%;0.19%;9.25%;2.36%;1.42%;0.28%;4.06%;17.74%;0.94%;5.94%
PEC ¹2092;2267;0;762;40;12;784;2.01%;1.51%;3.14%;53.89%;1.76%;0.25%;9.17%;1.13%;1.76%;0.00%;6.03%;10.68%;0.25%;6.91%
PEC ¹2093;2222;0;635;20;11;644;1.98%;1.83%;1.37%;45.80%;1.53%;0.15%;14.05%;2.29%;2.14%;0.00%;6.56%;11.76%;1.22%;7.63%
PEC ¹2094;2246;0;616;102;8;709;2.37%;1.81%;2.37%;42.40%;1.95%;0.14%;11.72%;2.79%;3.49%;0.42%;7.67%;14.23%;0.14%;7.39%
PEC ¹2095;2107;0;672;41;10;703;1.54%;1.96%;3.09%;49.37%;1.26%;0.00%;13.32%;1.40%;1.96%;0.28%;4.91%;11.92%;0.56%;7.01%
PEC ¹2096;1833;0;551;28;22;557;4.49%;1.73%;2.07%;57.34%;2.25%;0.69%;5.01%;3.28%;2.59%;0.52%;4.66%;6.39%;0.35%;4.84%
PEC ¹2097;2366;0;798;26;0;824;1.46%;4.85%;0.97%;54.98%;2.79%;0.36%;9.22%;0.49%;2.79%;0.36%;2.91%;12.01%;1.82%;4.98%
PEC ¹2098;2239;0;730;36;0;766;1.96%;2.48%;2.48%;54.31%;3.26%;0.13%;11.88%;1.17%;2.35%;0.00%;3.00%;10.31%;0.26%;6.40%
PEC ¹2099;2650;0;899;29;0;926;3.78%;1.30%;2.27%;46.11%;1.40%;0.43%;12.53%;1.08%;2.48%;0.11%;5.18%;13.93%;0.76%;8.64%
PEC ¹2100;2251;0;787;40;13;814;2.54%;10.04%;3.02%;52.36%;1.21%;0.36%;10.16%;1.33%;2.54%;0.24%;5.32%;1.33%;0.36%;7.62%
PEC ¹2101;1672;0;587;43;13;617;1.43%;1.75%;1.90%;53.97%;1.11%;0.16%;12.86%;2.22%;1.43%;0.00%;4.13%;9.52%;0.48%;6.98%
PEC ¹2102;2488;0;698;25;21;702;4.15%;2.63%;2.63%;36.93%;2.21%;0.28%;12.31%;1.11%;2.35%;0.14%;6.36%;16.87%;0.28%;8.85%
PEC ¹2103;2158;0;555;16;5;563;1.41%;1.06%;2.82%;57.04%;0.88%;0.53%;12.50%;2.11%;1.94%;0.53%;5.81%;9.33%;0.00%;3.17%
PEC ¹2104;2367;0;850;28;0;878;3.08%;2.05%;2.16%;50.46%;1.48%;0.46%;10.71%;2.62%;1.94%;0.00%;6.26%;10.82%;0.80%;7.18%
PEC ¹2105;1941;0;687;18;11;694;1.13%;2.27%;2.41%;54.33%;1.56%;0.14%;10.07%;1.56%;1.99%;0.85%;5.11%;8.23%;0.43%;8.37%
PEC ¹2106;2199;0;856;18;10;864;3.43%;1.26%;3.55%;55.84%;1.14%;0.00%;12.70%;2.52%;0.69%;0.46%;4.92%;8.58%;0.00%;3.78%
PEC ¹2107;2382;0;676;27;2;701;1.56%;1.28%;1.14%;54.77%;1.28%;0.00%;13.37%;1.28%;2.56%;0.00%;4.55%;8.39%;0.43%;9.10%
PEC ¹2108;2451;0;701;13;18;693;2.39%;2.67%;3.66%;38.68%;2.67%;0.14%;15.47%;1.13%;2.81%;0.28%;7.74%;12.10%;0.42%;7.31%
PEC ¹2109;1894;0;607;15;15;606;3.86%;2.42%;0.48%;41.22%;1.29%;0.48%;13.53%;3.70%;3.22%;0.32%;4.83%;14.01%;0.32%;7.89%
PEC ¹2110;2571;0;722;7;12;717;3.57%;2.61%;3.29%;34.98%;2.61%;0.27%;20.16%;2.33%;2.61%;0.41%;5.76%;11.93%;0.41%;7.41%
PEC ¹2111;2466;0;865;15;13;865;2.05%;1.03%;0.34%;49.32%;0.34%;0.00%;16.06%;2.73%;2.85%;0.34%;4.10%;13.78%;0.11%;5.47%
PEC ¹2112;1711;0;534;14;15;533;2.74%;2.92%;2.55%;45.99%;1.64%;0.55%;11.50%;2.01%;3.28%;0.55%;5.47%;12.41%;0.36%;5.29%
PEC ¹2113;1814;0;850;1;0;850;1.18%;0.71%;1.41%;70.00%;0.59%;0.12%;11.18%;0.82%;0.94%;0.00%;2.47%;8.71%;0.35%;1.53%
PEC ¹2114;1818;0;509;13;0;522;1.72%;1.15%;1.34%;64.75%;1.72%;0.00%;10.54%;1.92%;1.15%;0.38%;1.92%;10.15%;0.38%;2.87%
PEC ¹2115;2843;0;902;7;10;899;2.86%;2.53%;3.08%;33.77%;2.20%;0.11%;16.17%;3.52%;2.31%;0.00%;6.05%;18.15%;0.88%;7.26%
PEC ¹2116;1860;0;620;5;11;604;2.93%;1.79%;3.25%;43.58%;1.95%;0.33%;14.63%;1.14%;2.28%;0.33%;6.83%;9.92%;0.16%;9.11%
PEC ¹2117;2741;0;993;5;13;975;4.05%;2.43%;3.04%;36.74%;0.40%;0.20%;11.13%;1.42%;2.63%;0.40%;9.21%;17.51%;0.71%;8.81%
PEC ¹3736;268;0;224;0;9;215;0.89%;4.46%;1.34%;38.84%;0.89%;0.45%;35.71%;0.45%;0.45%;0.89%;2.23%;5.80%;2.23%;1.34%
PEC ¹188;2782;0;1085;41;11;1113;3.56%;1.16%;1.96%;30.52%;1.78%;0.44%;13.35%;4.00%;5.16%;0.09%;12.63%;15.75%;0.53%;8.10%
PEC ¹189;1460;0;626;8;6;628;4.73%;2.21%;1.42%;29.02%;1.74%;0.47%;12.78%;5.05%;2.84%;0.63%;10.41%;16.72%;0.63%;10.41%
PEC ¹190;2406;0;906;35;13;926;3.30%;2.02%;2.45%;26.62%;1.81%;0.53%;10.86%;2.88%;5.64%;0.32%;15.55%;17.57%;0.64%;8.41%
PEC ¹191;2239;0;682;41;10;713;4.70%;1.94%;2.77%;30.15%;2.07%;0.69%;7.33%;2.90%;4.84%;0.55%;17.57%;13.55%;0.83%;8.71%
PEC ¹192;2352;0;904;31;11;923;3.85%;2.14%;3.96%;22.91%;1.82%;0.43%;5.35%;4.50%;5.35%;0.11%;27.52%;13.38%;0.21%;7.28%
PEC ¹193;2348;0;892;56;8;940;3.16%;1.27%;0.74%;29.96%;0.63%;0.21%;6.43%;4.43%;4.64%;0.21%;22.57%;17.09%;0.63%;7.17%
PEC ¹194;2899;0;970;30;15;985;4.50%;1.50%;2.50%;28.60%;1.10%;0.60%;9.00%;3.50%;5.30%;0.30%;18.70%;14.40%;0.50%;8.00%
PEC ¹195;2336;0;914;33;14;933;4.86%;2.32%;2.85%;29.04%;1.80%;0.42%;9.93%;2.11%;3.59%;0.21%;13.73%;16.79%;0.32%;10.56%
PEC ¹196;1944;0;681;14;15;679;2.16%;2.16%;2.45%;34.87%;2.16%;0.43%;7.78%;3.46%;6.48%;0.00%;13.98%;11.38%;0.43%;10.09%
PEC ¹197;2363;0;787;19;13;793;3.85%;1.86%;2.85%;31.39%;1.49%;0.00%;10.42%;2.36%;4.22%;0.62%;14.52%;13.03%;0.37%;11.41%
PEC ¹198;2451;0;857;25;10;867;4.68%;1.60%;2.39%;32.50%;2.28%;0.34%;8.10%;3.08%;3.88%;0.34%;14.94%;14.25%;0.80%;9.69%
PEC ¹199;2459;0;886;46;13;918;5.16%;1.40%;2.58%;25.13%;2.69%;0.43%;9.77%;4.40%;5.16%;0.11%;19.66%;11.39%;0.32%;10.42%
PEC ¹200;2060;0;691;23;10;703;4.35%;1.82%;3.37%;31.14%;1.96%;0.56%;12.90%;3.23%;3.51%;0.56%;13.04%;13.32%;0.14%;8.70%
PEC ¹201;2053;0;639;16;19;635;4.28%;1.68%;2.29%;32.11%;2.29%;0.00%;11.62%;2.75%;3.06%;0.00%;11.31%;15.90%;0.15%;9.63%
PEC ¹202;1439;0;492;0;7;485;2.44%;0.81%;2.85%;24.59%;1.83%;0.20%;6.71%;8.13%;14.63%;0.41%;25.61%;6.50%;0.61%;3.25%
PEC ¹203;2246;0;852;22;13;859;4.47%;1.95%;1.83%;25.46%;1.15%;0.23%;8.14%;3.33%;5.05%;0.34%;17.32%;16.86%;0.80%;11.58%
PEC ¹204;2167;0;730;21;11;737;3.88%;1.07%;3.48%;30.88%;1.34%;0.27%;8.69%;1.74%;6.42%;0.27%;13.64%;15.51%;0.40%;10.96%
PEC ¹205;2407;0;809;26;19;816;4.43%;1.32%;2.40%;31.02%;1.68%;0.48%;12.10%;3.95%;3.95%;0.48%;10.78%;15.81%;0.24%;9.10%
PEC ¹206;2447;0;885;32;16;900;3.93%;1.75%;2.40%;28.49%;1.64%;0.55%;9.28%;2.29%;4.04%;0.76%;15.07%;17.69%;0.66%;9.72%
PEC ¹3633;43;0;43;0;0;43;0.00%;4.65%;6.98%;27.91%;0.00%;0.00%;27.91%;0.00%;0.00%;2.33%;6.98%;16.28%;0.00%;6.98%
PEC ¹3634;86;0;16;70;1;85;1.16%;1.16%;4.65%;51.16%;2.33%;0.00%;13.95%;1.16%;3.49%;1.16%;4.65%;10.47%;0.00%;3.49%
PEC ¹3635;163;0;0;163;3;160;1.23%;3.07%;6.13%;46.63%;2.45%;0.00%;19.63%;0.61%;0.61%;0.00%;0.61%;8.59%;1.84%;6.75%
PEC ¹207;2441;0;894;19;16;897;4.38%;1.10%;2.08%;28.37%;1.75%;0.11%;8.54%;3.61%;6.57%;0.11%;17.63%;15.22%;0.66%;8.11%
PEC ¹208;2204;0;763;24;7;771;2.31%;2.31%;2.31%;28.92%;3.34%;0.51%;11.70%;3.60%;5.14%;0.26%;16.97%;12.72%;0.64%;8.35%
PEC ¹209;2411;0;666;25;11;680;4.78%;1.74%;2.60%;29.96%;2.60%;1.01%;11.87%;3.47%;4.49%;0.29%;16.64%;10.99%;0.14%;7.81%
PEC ¹210;2293;0;804;19;5;818;4.74%;1.46%;2.55%;22.48%;0.97%;0.49%;9.84%;3.52%;5.71%;0.36%;23.09%;14.95%;0.36%;8.87%
PEC ¹211;2154;0;694;19;19;694;3.23%;0.56%;2.81%;30.58%;2.66%;0.56%;13.32%;2.95%;4.21%;0.42%;13.32%;12.90%;0.70%;9.12%
PEC ¹212;1037;0;336;6;11;331;3.51%;0.88%;2.92%;26.32%;2.34%;0.88%;12.57%;2.05%;4.97%;0.29%;18.71%;12.57%;0.00%;8.77%
